group	module	version
androidx.activity	activity	1.13.0
androidx.activity	activity-compose	1.13.0
androidx.activity	activity-ktx	1.13.0
androidx.annotation	annotation	1.10.0
androidx.annotation	annotation-experimental	1.4.1
androidx.annotation	annotation-jvm	1.10.0
androidx.appcompat	appcompat	1.6.1
androidx.appcompat	appcompat-resources	1.6.1
androidx.arch.core	core-common	2.2.0
androidx.arch.core	core-runtime	2.2.0
androidx.autofill	autofill	1.0.0
androidx.collection	collection	1.5.0
androidx.collection	collection-jvm	1.5.0
androidx.collection	collection-ktx	1.5.0
androidx.compose	compose-bom	2026.06.00
androidx.compose.animation	animation	1.11.3
androidx.compose.animation	animation-android	1.11.3
androidx.compose.animation	animation-core	1.11.3
androidx.compose.animation	animation-core-android	1.11.3
androidx.compose.foundation	foundation	1.11.3
androidx.compose.foundation	foundation-android	1.11.3
androidx.compose.foundation	foundation-layout	1.11.3
androidx.compose.foundation	foundation-layout-android	1.11.3
androidx.compose.material	material-ripple	1.11.3
androidx.compose.material	material-ripple-android	1.11.3
androidx.compose.material3	material3	1.4.0
androidx.compose.material3	material3-android	1.4.0
androidx.compose.runtime	runtime	1.11.3
androidx.compose.runtime	runtime-android	1.11.3
androidx.compose.runtime	runtime-annotation	1.11.3
androidx.compose.runtime	runtime-annotation-android	1.11.3
androidx.compose.runtime	runtime-retain	1.11.3
androidx.compose.runtime	runtime-retain-android	1.11.3
androidx.compose.runtime	runtime-saveable	1.11.3
androidx.compose.runtime	runtime-saveable-android	1.11.3
androidx.compose.ui	ui	1.11.3
androidx.compose.ui	ui-android	1.11.3
androidx.compose.ui	ui-geometry	1.11.3
androidx.compose.ui	ui-geometry-android	1.11.3
androidx.compose.ui	ui-graphics	1.11.3
androidx.compose.ui	ui-graphics-android	1.11.3
androidx.compose.ui	ui-text	1.11.3
androidx.compose.ui	ui-text-android	1.11.3
androidx.compose.ui	ui-tooling-preview	1.11.3
androidx.compose.ui	ui-tooling-preview-android	1.11.3
androidx.compose.ui	ui-unit	1.11.3
androidx.compose.ui	ui-unit-android	1.11.3
androidx.compose.ui	ui-util	1.11.3
androidx.compose.ui	ui-util-android	1.11.3
androidx.concurrent	concurrent-futures	1.1.0
androidx.core	core	1.19.0
androidx.core	core-ktx	1.19.0
androidx.core	core-viewtree	1.0.0
androidx.cursoradapter	cursoradapter	1.0.0
androidx.customview	customview	1.0.0
androidx.customview	customview-poolingcontainer	1.0.0
androidx.documentfile	documentfile	1.0.0
androidx.drawerlayout	drawerlayout	1.0.0
androidx.dynamicanimation	dynamicanimation	1.0.0
androidx.emoji2	emoji2	1.4.0
androidx.emoji2	emoji2-views-helper	1.4.0
androidx.exifinterface	exifinterface	1.0.0
androidx.fragment	fragment	1.5.7
androidx.graphics	graphics-path	1.0.1
androidx.interpolator	interpolator	1.0.0
androidx.legacy	legacy-support-core-utils	1.0.0
androidx.lifecycle	lifecycle-common	2.11.0
androidx.lifecycle	lifecycle-common-java8	2.11.0
androidx.lifecycle	lifecycle-common-jvm	2.11.0
androidx.lifecycle	lifecycle-livedata-core	2.11.0
androidx.lifecycle	lifecycle-process	2.11.0
androidx.lifecycle	lifecycle-runtime	2.11.0
androidx.lifecycle	lifecycle-runtime-android	2.11.0
androidx.lifecycle	lifecycle-runtime-compose	2.11.0
androidx.lifecycle	lifecycle-runtime-compose-android	2.11.0
androidx.lifecycle	lifecycle-runtime-ktx	2.11.0
androidx.lifecycle	lifecycle-runtime-ktx-android	2.11.0
androidx.lifecycle	lifecycle-viewmodel	2.11.0
androidx.lifecycle	lifecycle-viewmodel-android	2.11.0
androidx.lifecycle	lifecycle-viewmodel-compose	2.11.0
androidx.lifecycle	lifecycle-viewmodel-compose-android	2.11.0
androidx.lifecycle	lifecycle-viewmodel-ktx	2.11.0
androidx.lifecycle	lifecycle-viewmodel-savedstate	2.11.0
androidx.lifecycle	lifecycle-viewmodel-savedstate-android	2.11.0
androidx.loader	loader	1.1.0
androidx.localbroadcastmanager	localbroadcastmanager	1.0.0
androidx.navigationevent	navigationevent	1.0.0
androidx.navigationevent	navigationevent-android	1.0.0
androidx.navigationevent	navigationevent-compose	1.0.0
androidx.navigationevent	navigationevent-compose-android	1.0.0
androidx.print	print	1.0.0
androidx.profileinstaller	profileinstaller	1.4.0
androidx.resourceinspection	resourceinspection-annotation	1.0.1
androidx.savedstate	savedstate	1.4.0
androidx.savedstate	savedstate-android	1.4.0
androidx.savedstate	savedstate-compose	1.4.0
androidx.savedstate	savedstate-compose-android	1.4.0
androidx.savedstate	savedstate-ktx	1.4.0
androidx.startup	startup-runtime	1.1.1
androidx.tracing	tracing	1.2.0
androidx.transition	transition	1.6.0
androidx.vectordrawable	vectordrawable	1.1.0
androidx.vectordrawable	vectordrawable-animated	1.1.0
androidx.versionedparcelable	versionedparcelable	1.1.1
androidx.viewpager	viewpager	1.0.0
androidx.window	window	1.5.0
androidx.window	window-core	1.5.0
androidx.window	window-core-android	1.5.0
com.google.android.datatransport	transport-api	2.2.1
com.google.android.datatransport	transport-backend-cct	2.3.3
com.google.android.datatransport	transport-runtime	2.2.6
com.google.android.gms	play-services-auth	21.6.0
com.google.android.gms	play-services-auth-api-phone	18.0.2
com.google.android.gms	play-services-auth-base	18.0.10
com.google.android.gms	play-services-base	18.5.0
com.google.android.gms	play-services-basement	18.9.0
com.google.android.gms	play-services-fido	20.0.1
com.google.android.gms	play-services-mlkit-barcode-scanning	18.3.1
com.google.android.gms	play-services-mlkit-text-recognition	19.0.1
com.google.android.gms	play-services-mlkit-text-recognition-common	19.1.0
com.google.android.gms	play-services-tasks	18.2.0
com.google.android.odml	image	1.0.0-beta1
com.google.firebase	firebase-annotations	16.0.0
com.google.firebase	firebase-components	16.1.0
com.google.firebase	firebase-encoders	16.1.0
com.google.firebase	firebase-encoders-json	17.1.0
com.google.guava	listenablefuture	1.0
com.google.mlkit	barcode-scanning	17.3.0
com.google.mlkit	barcode-scanning-common	17.0.0
com.google.mlkit	common	18.11.0
com.google.mlkit	text-recognition	16.0.1
