group	module	version	licenseNames	licenseUrls	pomSha256
androidx.activity	activity	1.13.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a5c53e074754835d30621618616e783b5b71875c2e7988ab06082348152e314e
androidx.activity	activity-compose	1.13.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	cb6a8ff89ffb7f107f214050e9fb32b0d0b0f665d8de7c9e4e2a4d5fea9951e9
androidx.activity	activity-ktx	1.13.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	79d63d7b13c43f92faf63ade9fc6a4ab45e8e42493dbaa138c7a736184a4c775
androidx.annotation	annotation	1.10.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	880f7bf4b35d060746cbef319d4a052b4bd826bb71b40500e55319721ffa4e76
androidx.annotation	annotation-experimental	1.4.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	fe57b228417f4d7c677903dc61fb4a7cf993d603499de26d8d8113e477cc4f1b
androidx.annotation	annotation-jvm	1.10.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	5eece0903b4810aa1da85414dc4c2746046d878a543aa12dd4f1fe74171f7506
androidx.appcompat	appcompat	1.6.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.appcompat	appcompat-resources	1.6.1	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.arch.core	core-common	2.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1e17d4af8d6425be2a69f8af4d654a87e0456259a9eef1542869bcb023547e28
androidx.arch.core	core-runtime	2.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0f953706598140d9d8735cdd5aeb1fa35933f4e2f31c0bf3eb81a053a4c8c1a5
androidx.autofill	autofill	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	3677abead5d4e06cf76cbacb954151e051779c2274494451fb424e375aa9e450
androidx.browser	browser	1.8.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	8c9d7d544a81be5f1e8ded2a4ff474c27e95d52d508f59d479291eaf7fe0337f
androidx.collection	collection	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	2d65c8d0b36d4b4faadc44aff9bade23d871d7159eedf2b3f02d802b34b77a57
androidx.collection	collection-jvm	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	11c415864d3402f61d426e67210158dce1b04680412526a994f1823ecd3cb388
androidx.collection	collection-ktx	1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	983f8d0630d072d5bfcd166a498ac7213f3a44a98c09051004ce96429d867cea
androidx.compose	compose-bom	2026.06.00	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	e4e8235a1f30f5749a37dd1656a51e5ece1053fc3cd7caf99eacb3359b32bedf
androidx.compose.animation	animation	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	c8bcba93628b11b7d02b4992ff4a43efde9ef591ca896a720feef21d03748868
androidx.compose.animation	animation-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d1853ba82328953b6fb7813d771cdab351120653aea04978019aad49e957c7ef
androidx.compose.animation	animation-core	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	cf9380bdc886f6032b4f454ea74635032d98af162fc69848efe7254ad77e8cff
androidx.compose.animation	animation-core-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f6c619602f2d4f840b2e4d35d60b4f2763ef235c395da81992a0550b21300c2d
androidx.compose.foundation	foundation	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	22ea187cda166a9e34365273e680b6e77f74d03c723f8ca8e859e0c2ec72a767
androidx.compose.foundation	foundation-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	ce6e2b3f512cf68f7498a9f92ae9663929637e2bd38ca267dd1af4aec0c43bde
androidx.compose.foundation	foundation-layout	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d310ab34b330e3516458577ac371b10fd4ac5969e58f55d2da342195a7721cbe
androidx.compose.foundation	foundation-layout-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	09daf687ff3d4352ab10c94ef3f0c29f84fdc68a838ed2ccce7ce76ff7874f5d
androidx.compose.material	material-ripple	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	4b3be289c957e7ba3093337c120e8dd4c1b04b64a02995db1ac6708ab9f6f46d
androidx.compose.material	material-ripple-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	91aca24e824595087ea088887c566be3c6d2dd8f72ff22b18783370546fbcefa
androidx.compose.material3	material3	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	672b431f59c8e0a8522690b2f46f1b7966710638893c60c31c5f19f8472d62cc
androidx.compose.material3	material3-android	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	cc0362653240708a010de50fee8caf884a610fbb10b6013e86694d77c43febc7
